Date,Open,High,Low,Close,Adj Close,Volume
2022-05-06,0.550621,0.568638,0.536357,0.568638,0.568638,1761845
2022-05-07,0.568638,0.575641,0.546414,0.550184,0.550184,1227628
2022-05-08,0.550184,0.552055,0.529005,0.541862,0.541862,1164829
2022-05-09,0.541862,0.543133,0.456998,0.461572,0.461572,2636080
2022-05-10,0.461574,0.518655,0.444818,0.467077,0.467077,3767954
2022-05-11,0.467076,0.479248,0.372874,0.387729,0.387729,3035844
2022-05-12,0.387729,0.402780,0.289944,0.335384,0.335384,2527510
2022-05-13,0.335384,0.404943,0.330127,0.367239,0.367239,2252704
2022-05-14,0.367239,0.379920,0.323254,0.344342,0.344342,2258565
2022-05-15,0.344342,0.362177,0.336104,0.359292,0.359292,938973
2022-05-16,0.359292,0.359671,0.319180,0.328902,0.328902,1237107
2022-05-17,0.328902,0.345389,0.321529,0.335643,0.335643,1229812
2022-05-18,0.335643,0.335980,0.307382,0.316043,0.316043,1372737
2022-05-19,0.316044,0.332426,0.308768,0.327285,0.327285,970689
2022-05-20,0.327285,0.350424,0.308540,0.317965,0.317965,2230074
2022-05-21,0.317965,0.328113,0.315214,0.327431,0.327431,626505
2022-05-22,0.327433,0.339460,0.326893,0.339429,0.339429,549076
2022-05-23,0.339430,0.374319,0.337564,0.352241,0.352241,1029909
2022-05-24,0.352241,0.368074,0.347081,0.366629,0.366629,903922
2022-05-25,0.366629,0.382866,0.365900,0.381375,0.381375,851720
2022-05-26,0.381375,0.385892,0.334723,0.347478,0.347478,1395616
2022-05-27,0.347477,0.347565,0.318690,0.319911,0.319911,1181072
2022-05-28,0.327133,0.335743,0.319466,0.335205,0.335205,443836
2022-05-29,0.335205,0.350336,0.325598,0.350104,0.350104,880119
2022-05-30,0.350104,0.385397,0.346957,0.376708,0.376708,861646
2022-05-31,0.376708,0.376708,0.360670,0.367851,0.367851,1280878
2022-06-01,0.367851,0.368464,0.336917,0.359331,0.359331,1307455
2022-06-02,0.359331,0.371692,0.355268,0.370276,0.370276,707944
2022-06-03,0.370276,0.373367,0.359859,0.372045,0.372045,979912
2022-06-04,0.372045,0.379733,0.365639,0.378954,0.378954,767145
2022-06-05,0.378954,0.404606,0.371416,0.401545,0.401545,1887276
2022-06-06,0.401545,0.451226,0.401252,0.446155,0.446155,2718552
2022-06-07,0.446155,0.459774,0.397474,0.444808,0.444808,2384301
2022-06-08,0.444808,0.482749,0.442786,0.482412,0.482412,2117843
2022-06-09,0.482410,0.572848,0.482182,0.530254,0.530254,4130298
2022-06-10,0.530254,0.540067,0.475647,0.491855,0.491855,2354542
2022-06-11,0.491855,0.501554,0.403979,0.433650,0.433650,2363721
2022-06-12,0.433650,0.434708,0.377521,0.389943,0.389943,2972046
2022-06-13,0.389944,0.390118,0.319505,0.342626,0.342626,2544379
2022-06-14,0.342626,0.383648,0.316706,0.377100,0.377100,2661786
2022-06-15,0.377100,0.408348,0.337215,0.404711,0.404711,1918039
2022-06-16,0.404711,0.417463,0.353794,0.360830,0.360830,1711667
2022-06-17,0.360830,0.376870,0.359209,0.371409,0.371409,779230
2022-06-18,0.371409,0.377255,0.325127,0.356732,0.356732,1406390
2022-06-19,0.356733,0.413680,0.343978,0.403227,0.403227,1683301
2022-06-20,0.403227,0.418801,0.379542,0.414933,0.414933,1424025
